SEXO;IDADE;RENDA;PERFIL_CONSUMIDOR_A;PERFIL_CONSUMIDOR_B;PERFIL_CONSUMIDOR_C;ESTADO_CIVIL_CASADO(A);ESTADO_CIVIL_DESQUITADO(A);ESTADO_CIVIL_DIVORCIADO(A);ESTADO_CIVIL_OUTROS;ESTADO_CIVIL_SEPARADO(A) JUDICIALMENTE;ESTADO_CIVIL_SOLTEIRO(A);AREA_CBO_0;AREA_CBO_1;AREA_CBO_2;AREA_CBO_3;AREA_CBO_4;AREA_CBO_5;AREA_CBO_6;AREA_CBO_7;AREA_CBO_8;AREA_CBO_9
0;0.8786514885822944;-0.09434012125879354;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
1;0.1394397457148323;-0.32160378754663094;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;1.802666167166622;-0.7588380899052332;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1;-0.507370529294197;-0.7922587132187038;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.9710529564407272;1.0146487097005679;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;0.04703827785639956;-0.4837606518635904;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;2.2646735064587857;-0.4319398330684059;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
0;-0.3225675935773315;-0.8265362755914942;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
1;0.04703827785639956;-0.6581717447288223;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;-0.045363190002033205;-0.33497203687201915;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;-0.507370529294197;-0.6581648892163479;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
1;-0.507370529294197;-0.7784002947513847;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;3.2810896529015463;0.3219677292712203;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;-0.7845749328694953;-0.7649120739576917;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
0;0.4166441492901306;-0.7069075829104557;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;1.802666167166622;-0.5072613486263755;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
0;1.3406588278744582;-0.12039449641835141;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;-0.41496906143576423;-0.6146015351967685;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;0.7862500207238616;2.868636364538868;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
1;-0.13776465786046596;-0.43596401889097147;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
0;1.8950676350250548;1.2872513077388954;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
1;-0.41496906143576423;-0.7922587132187038;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
0;-0.3225675935773315;-0.5440308897836678;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;-0.41496906143576423;0.6906434791280043;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
1;-0.507370529294197;-0.7922587132187038;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
0;2.172272038600353;1.8731645368894758;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
0;-0.41496906143576423;-0.17778541909911444;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
1;0.1394397457148323;-0.7586667020933693;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
0;2.541877910034084;-0.4152055271180097;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
0;0.6938485528654289;-0.2831203682706992;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
0;0.4166441492901306;-0.2438177152540578;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
0;0.4166441492901306;-0.248955921853739;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;0.5090456171485633;-0.622824722410001;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
0;0.1394397457148323;-0.20655457719859735;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;-0.507370529294197;-0.09773702768993701;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
0;1.06345442429916;0.03183215807921061;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;-0.3225675935773315;-0.5883483501754484;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
1;1.433060295732891;0.08146606839501098;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
