CO_CNES;NO_RAZAO_SOCIAL;NO_FANTASIA;CO_ESTADO_GESTOR;CO_MUNICIPIO_GESTOR;NU_LATITUDE;NU_LONGITUDE
9976574;MARIA APARECIDA RODRIGUES DE HOLANDA;MARIA APARECIDA RODRIGUES DE HOLANDA;12;120040;-994.596;-6.787.967
9157816;CLINICA GERAL LTDA;CLINICA DE ESPECIALIDADES MEDICAS DO ACRE CEMAC;12;120040;-996.336;-6.781.574
9884017;JOANNE ROCHA PORTELA DA COSTA;JOANNE ROCHA PORTELA DA COSTA;12;120040;-996.062;-6.780.906
9648968;DISTRITO SANITARIO ESPECIAL DE SAUDE INDIGENA ALTO RIO PURUS;UNIDADE BASICA DE SAUDE BUACU;12;120034;-8.832.343.022.939.620;-692.683.482.170.105
0076406;J J R MAIA LTDA;SIGON;12;120040;-996.990;-6.780.278
9495525;M C N S COSTA;LABORATORIO BEM ESTAR;12;120040;-997.653;-6.782.388
7577451;MUNICIPIO DE RIO BRANCO;POLO SIMILAR ACADEMIA DA SAUDE FRANCISCO RONEY MEIRELES;12;120040;-9.934.649;-67.826.172
7577443;PREFEITURA MUNICIPAL DE RIO BRANCO;ACADEMIA DA COMUNIDADE AO AR LIVRE NIMEO INSFRAN MARTINEZ;12;120040;;
7577540;PREFEITURA MUNICIPAL DE RIO BRANCO;POLO SIMILAR ACADEMIA DA SAUDE ROZANGELA PIMENTEL;12;120040;-9.977.027;-67.874.164
7583818;PREFEITURA MUNICIPAL DE RIO BRANCO;ACADEMIA DA SAUDE PARQUE DO TUCUMA;12;120040;-996.678;-6.781.915
9430954;UNIAO EDUCACIONAL META LTDA;CLINICA ESCOLA;12;120040;-9.956.296.946.475.110;-6.785.003.900.527.950
9459952;ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS APAE;APAE;12;120020;-76.324.063;-726.769.892
9618902;MUNICIPIO DE SENADOR GUIOMARD;UNIDADE SAUDE DA FAMILIA MARIA RAIMUNDA MENDONCA;12;120045;-10.091.909.974.784.800;-6.753.549.098.968.500
9619461;BRAGA E BRAGA IMPORTACAO E EXPORTACAO LTDA;COMERCIAL BRAGA;12;120040;-9.980.685;-67.811.222
9652140;CORPO DE BOMBEIROS MILITAR DO ESTADO DO ACRE;CORPO DE BOMBEIROS MILITAR DO ESTADO DO ACRE;12;120040;-9.976.049;-67.807.037
9537201;SARA RODRIGUES PEREIRA DA ROCHA;SARA RODRIGUES PEREIRA DA ROCHA;12;120040;-9.962.115;-67.810.124
9564004;I F M DANTAS EIRELI;CENTRO AUDITIVO DO ACRE;12;120040;-995.860;-6.781.307
9579567;RODRIGO DA COSTA BEIRUTH;RODRIGO DA COSTA BEIRUTH;12;120040;-996.326;-6.781.538
9630163;NEUROCARDIO SOCIEDADE SIMPLES UNIPESSOAL LTDA;NEUROCARDIO SS;12;120040;-996.407;-6.779.827
9633006;LABORATORIO PREVINE LTDA;LABORATORIOS PREVINE;12;120040;-9.975;-67.81
7706324;LABORATORIO DE ANALISES CLINICAS TARAUACA LTDA EPP;TK ANALISES CLINICAS;12;120060;-81.666.676;-70.766.823
7834535;G S DURANS;CLINICA ODONTOLOGICA ODONTO PRIMER;12;120040;-997.016;-6.780.071
9919546;CLIAGO CLINICA ACRIANA DE GINECOLOGIA E OBSTETRICIA LTDA;CLIAGO CLINICA ACRIANA DE GINECOLOGIA E OBSTETRICIA;12;120040;-997.040;-6.780.301
9258957;SECRETARIA DE ESTADO DE SAUDE;CENTRAL DE NOTIFICACAO DIST E CAPTACAO DE ORGAOS ESTADUAL;12;120040;-9.965.630;-67.856.451
3388530;BIOMEDI LABORATORIO DE ANALISES CLINICAS LTDA;BIOMEDI ANALISES CLINICAS;12;120040;-996.221;-67.815.071
9893024;DERMOSOAL MEDICINA ESPECIALIZADA SOCIEDADE SIMPLES UNIPESSOA;PROIMAGEM;12;120040;-995.997;-6.781.423
5210356;CLOVIS FREITAS JUNIOR;CLOVIS FREITAS JUNIOR;12;120040;-996.789;-6.780.653
9879897;PSICOLOGOS E NUTRICIONISTAS ASSOCIADOS LTDA;CLINICA AFETTO;12;120040;-994.502;-6.782.034
9056599;CENTRO DE LAZER STATUS LTDA;MAIS ACADEMIA;12;120040;-9.975;-67.81
9879684;UROCLIN LTDA;UROCLIN EIRELI;12;120040;-996.635;-6.781.748
9176373;MARILENE FALCAO DE FREITAS;MARILENE FALCAO DE FREITAS;12;120040;-997.072;-6.781.561
7993447;LAGE E DANTAS SOCIEDADE SIMPLES;LAGE E DANTAS CENTRO MEDICO;12;120040;-996.536;-6.781.739
9079815;SECRETARIA DE ESTADO DE SAUDE;AMBULANCIA USB CAPIXABA 20;12;120017;-105.754.572;-676.790.877
9003525;MILTON LUIZ RODRIGUES DE MESQUITA JUNIOR;MILTON LUIZ RODRIGUES DE MESQUITA JUNIOR;12;120040;-996.257;-6.780.991
9077359;SERVICO SOCIAL DO COMERCIO;SESC DEPARTAMENTO REGIONAL NO ESTADO DO ACRE;12;120040;-995.834;-6.781.675
7753799;MUNICIPIO DE RIO BRANCO;ACADEMIA DA SAUDE DO SANTO AFONSO;12;120040;-9.975;-67.81
9056513;SENOMED CLINICA MEDICA LTDA;SENOMED CLINICA MEDICA;12;120040;-995.797;-6.782.054
9035362;SECRETARIA DE ESTADO DE SAUDE;OFICINA ORTOPEDICA ITINERANTE TERRESTRE DO ACRE;12;120040;-9.964.497.036.359.140;-678.325.080.871.582
9217452;L T RIBEIRO EIRELI;ODONTO EXCELLENCE;12;120040;-996.638;-6.781.199
9117539;C ALVES DE C MORAIS ME;CLINICA FISIO E SAUDE;12;120020;-7.627.863.949.345.840;-7.267.258.644.104.000
7838980;MARIUZA MAIA DOS SANTOS;MARIUZA MAIA DOS SANTOS;12;120040;-9.975;-67.81
9251197;UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;LABORATORIO DE ANALISES CLINICAS UNIMED RIO BRANCO;12;120040;-996.182;-6.781.990
